t-SNE_1,t-SNE_2,target
239.89098,-47.091743,0
52.341946,46.17559,1
-256.44266,89.52693,1
145.61075,204.77611,0
-91.13417,243.1147,1
-52.59753,-111.816475,1
219.98854,-140.98209,0
40.531754,100.643906,0
-29.338957,105.062904,1
320.27646,59.61784,0
-123.778755,223.0982,1
-15.001132,81.708595,0
-210.69865,159.52747,1
-80.23591,123.8605,1
178.89,-218.08206,0
-5.460879,200.66241,1
-150.65979,189.37677,0
288.38586,-139.97533,0
67.06563,63.80849,1
-219.55867,-28.707516,1
-179.2328,-9.816211,1
16.175913,-22.277948,1
80.81949,242.94205,1
177.95778,244.77795,1
-66.73901,-179.4373,0
-224.36942,142.85156,1
32.896366,196.43703,1
76.61214,-158.41402,0
248.56514,-90.00124,0
-82.45998,-223.94635,0
-81.88488,266.09836,1
145.61075,204.77611,0
46.517147,91.712685,0
200.69629,-5.301722,0
-279.7528,15.67197,1
-113.620186,27.009806,0
-164.6565,25.685656,1
38.525673,136.76993,1
-278.45392,131.78416,1
-106.547134,182.79106,1
224.6461,-57.28617,0
-156.54301,-250.87392,1
137.34607,-139.96907,0
14.800212,88.54623,0
230.25226,71.37174,0
29.538239,-69.72444,0
246.56363,-154.34468,0
-31.746634,-211.61858,0
-68.921776,-137.00778,1
-117.11188,-63.008907,1
57.353985,159.72942,0
-321.833,-55.66802,1
-170.37144,-117.05409,1
154.28568,45.189796,0
60.79159,-88.16976,1
128.57474,-265.5408,0
56.36237,24.946102,0
104.811264,-84.381584,0
30.14295,86.14321,1
-97.05627,-71.4643,0
-182.77089,-128.83344,1
-82.45998,-223.94635,0
-98.57456,-44.460587,1
118.30939,-215.39082,0
128.57474,-265.5408,0
-179.2328,-9.816211,1
279.32898,-195.5545,0
-77.259125,-79.64733,1
-40.45401,68.59313,1
-160.43553,-32.759182,1
-208.28438,-147.50833,1
184.478,-176.5663,0
162.99695,-146.0353,0
93.56722,-314.14734,0
68.949745,-110.12995,0
311.43842,-13.930338,1
15.516465,224.44536,1
-39.177753,-88.36435,1
-318.64972,-6.6148043,1
133.19751,-65.68066,0
213.4884,-146.61412,0
-189.05298,-101.60255,1
-46.31761,260.7382,1
225.76343,-68.38594,0
-23.098694,264.51224,1
38.525673,136.76993,1
210.22838,213.88618,0
-23.604269,-18.670095,1
287.9434,-72.29057,0
-243.24858,131.59116,1
38.23061,-178.90355,0
-346.86508,-54.896908,1
-271.27286,-125.189316,1
29.538239,-69.72444,0
-243.03189,-17.1118,1
60.79159,-88.16976,1
101.52899,113.4911,1
2.4095142,259.35782,0
118.85097,-24.918705,0
-59.622837,186.1347,1
-318.64972,-6.6148043,1
96.59632,-49.35797,0
29.538239,-69.72444,0
159.04866,-71.94836,0
-247.82852,-25.078754,1
-267.29865,88.84207,1
27.192377,-216.3913,0
92.37037,-236.60365,0
-330.46414,-25.723473,1
-153.1226,-70.08992,0
172.75963,226.7627,1
1.337996,-37.602444,0
-155.69762,-55.608837,1
-125.41233,290.81717,1
-263.57108,42.760475,1
-169.08232,-190.33473,1
-117.11188,-63.008907,1
-66.73901,-179.4373,0
97.12603,-14.128741,1
-220.10435,164.0055,1
-64.029945,47.520668,0
187.10197,-120.33062,0
-112.3475,-191.21007,1
227.88596,-173.08562,1
156.1441,-91.47537,0
-105.92657,-139.34236,1
-321.833,-55.66802,1
112.49017,-165.60481,0
-44.961567,173.37617,0
-68.48058,-293.6233,0
-153.1226,-70.08992,0
-79.160194,290.6083,1
137.34607,-139.96907,0
152.57043,-217.6642,1
105.026215,147.57648,0
275.91074,-27.960144,0
-106.547134,182.79106,1
-260.4042,-181.10431,0
-19.830126,-107.92845,1
170.40324,-151.05775,0
49.316425,154.0023,0
-233.25581,117.37404,1
-277.96005,101.26812,1
-28.836681,-254.27007,1
248.56514,-90.00124,0
-38.870728,192.2744,1
227.94325,-222.01833,0
64.1586,31.391079,0
269.28177,55.398552,0
253.32086,-168.52592,0
5.995019,-82.21112,1
